OMAP-21: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Palatine Tonsil (FFPE) with MACSima,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Werner Müller; Julia Femel; Silvia Rüberg; Andreas Bosio,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCiD(s):,0000-0002-1297-9725;0000-0002-0254-316X; 0009-0008-1003-987X; 0000-0001-9776-2535,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Andrea J. Radtke; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCiD(s):,0000-0003-4379-8967; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1038/s41598-022-05841-4,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcid,core_panel,rationale,organ,organ_uberon
OMAP-21,P10415,HGNC:990,BCL2,Human,IgG1,Monoclonal,REA872,Miltenyi Biotec,130-114-337,,Y,,50,FITC,AB_2726569,MICS,FFPE,1,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,BCL2 represents an anti-apoptotic protein highly expressed in mantle zone B cells and follicular lymphoma tumor B cells. This marker can be used to define the mantle zone (high expression) and germinal center (negative) in the tonsil. This marker is not a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373
OMAP-21,Q15116,HGNC:8760,PDCD1,Human,IgG1,Monoclonal,REA1165,Miltenyi Biotec,130-120-388,,Y,,50,PE,AB_2752074,MICS,FFPE,1,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD279 (PD1) is expressed on activated T and B cells (also on T cells in the light zone of the germinal center)..,palatine tonsil,UBERON:0002373
OMAP-21,P16070,HGNC:1681,CD44,Human,IgG1,Monoclonal,REA690,Miltenyi Biotec,130-113-900,,Y,,50,APC,AB_2726114,MICS,FFPE,2,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD44 It is used to detect the activation status of many immune cell subsets. This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373
OMAP-21,P01732,HGNC:1706,CD8A,Human,IgG1,Monoclonal,REA1024,Miltenyi Biotec,130-117-200,,Y,,50,FITC,AB_2857414,MICS,FFPE,2,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,CD8alpha  is expressed on the CD8 positive subset of T cells. It is also expressed on a macrophage subset. This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373
OMAP-21,Q9BZS1,HGNC:6106,FOXP3,Human,IgG1,Monoclonal,REA1253,Miltenyi Biotec,130-127-808,,Y,,50,PE,AB_2905207,MICS,FFPE,2,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,FoxP3  is expressed by T regulatory cells and T follicular regulatory cells. This marker represents a prioritized target in the tonsil OMAP. ,palatine tonsil,UBERON:0002373
OMAP-21,Q12888,HGNC:11998,TP53,Human,IgG1,Monoclonal,REA1132,Miltenyi Biotec,130-119-502,,Y,,50,PE,AB_2857470,MICS,FFPE,3,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,p53 is expressed in the nucleus of cells related to DNA remodeling. In the tonsil it can be found in the epithelia area and a few cells in the germinal center.,palatine tonsil,UBERON:0002373
OMAP-21,P08575,HGNC:9666,PTPRC,Mouse,IgG2a kappa,Monoclonal,5B1,Miltenyi Biotec,130-113-118,,N,,50,PE,AB_2725946,MICS,FFPE,4,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,CD45 is expressed on all  hematopoietic cells. This marker represents a prioritized target in the tonsil OMAP and can be used for downstream image analysis.,palatine tonsil,UBERON:0002373
OMAP-21,Q9NZQ7,HGNC:17635,CD274,Human,IgG1,Monoclonal,REA1197,Miltenyi Biotec,130-122-815,,Y,,50,PE,AB_2811398,MICS,FFPE,5,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,"CD274 antibody detects the PD-1 protein (death receptor ligand) expressed on activated T cells, B cells, dendritic cells (DCs), antigen-presenting cells, keratiNcytes, monocytes, and various types of tumor cells. In the tonsil it is presend in the germinal center and in the epithelia cell area. It does Nt represent a priroritized target in tonsil OMAP.",palatine tonsil,UBERON:0002373
OMAP-21,P08729,HGNC:6445,KRT7 ,Human,IgG1,Monoclonal,REA935,Miltenyi Biotec,130-115-448,,Y,,50,APC,AB_2857395,MICS,FFPE,6,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,Cytokeratin 7 is expressed by a subset of epithelia cells in the tonsil.,palatine tonsil,UBERON:0002373
OMAP-21,P18627,HGNC:6476,LAG3,Human,IgG1,Monoclonal,REA351,Miltenyi Biotec,130-120-610,,Y,,50,PE,AB_2784079,MICS,FFPE,6,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD233 is a marker for erythrocytes. It detects regions in which erythrocyte products are enriched.,palatine tonsil,UBERON:0002373
OMAP-21,P12004,HGNC:8729,PCNA,Human,IgG1,Monoclonal,REA858,Miltenyi Biotec,130-114-702,,Y,,50,FITC,AB_2726763,MICS,FFPE,7,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,"PCNA is a marker of proliferating cells. In the tonsil it can be found on epithelia cells and germinal center cells,.",palatine tonsil,UBERON:0002373
OMAP-21,Q86VB7,HGNC:1631,CD163,Human,IgG1,Monoclonal,REA1309,Miltenyi Biotec,130-127-908,,Y,,50,PE,AB_2928274,MICS,FFPE,7,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD163 is expressed on monocytes/macrophages. It is preferentally expressed on macrophages of the M2 type..,palatine tonsil,UBERON:0002373
OMAP-21,P11215,HGNC:6149,ITGAM,Human,IgG1,Monoclonal,REA1321,Miltenyi Biotec,130-128-773,,Y,,50,PE,AB_2904691,MICS,FFPE,8,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,"CD11b is expressed on monocytes/macrophages but also on subsets of other lymphocytes, like B1 B cells.",palatine tonsil,UBERON:0002373
OMAP-21,P08575,HGNC:9666,PTPRC,Human,IgG1,Monoclonal,REA1197,Miltenyi Biotec,130-126-373,,Y,,50,FITC,AB_2876979,MICS,FFPE,9,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,CD45RB is a splice variant of the CD45 gene. This splice variant is expressed on a B cell subset and NaiveT cells.,palatine tonsil,UBERON:0002373
OMAP-21,P08571,HGNC:1628,CD14,Human,IgG1,Monoclonal,REA1314,Miltenyi Biotec,130-128-771,,Y,,50,PE,AB_2904736,MICS,FFPE,9,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD14 is a marker for blood derived macrophages and in the tonil it also stains the Folicular cell net work in the germinal center.,palatine tonsil,UBERON:0002373
OMAP-21,P11279,HGNC:6499,LAMP1,Human,IgG1,Monoclonal,REAL653,Miltenyi Biotec,130-126-203,,Y,,50,APC,AB_2889419,MICS,FFPE,10,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD107a is expressed on a NK subset (CD57 negative) in the Germinal Center.,palatine tonsil,UBERON:0002373
OMAP-21,P02533,HGNC:6416,KRT14,Human,IgG1,Monoclonal,REAL831,Miltenyi Biotec,130-125-684,,Y,,50,APC,AB_2889653,MICS,FFPE,11,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,Cytokeratin 14 is expressed by epithelia cells in the tonsil,palatine tonsil,UBERON:0002373
OMAP-21,P46013,HGNC:7107,MKI67,Human,IgG1,Monoclonal,REAL1047,Miltenyi Biotec,130-127-837,,Y,,50,FITC,AB_2905309,MICS,FFPE,11,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,Ki67  is expressed in the nucleus of proliferating cells. It defines dark zone (Ki67++) of the germinal center. This marker is essential for assessing cell division and proliferation. This marker represents a core panel and prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373
OMAP-21,P01730,HGNC:1678,CD4,Human,IgG1,Monoclonal,REA1307,Miltenyi Biotec,130-127-906,,Y,,50,PE,AB_2921815,MICS,FFPE,11,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD4 is expressed by subsets of T cells. This marker is also expressed on a subset of myeloid cells. This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373
OMAP-21,P16284,HGNC:8823,PECAM1,Human,IgG1,Monoclonal,REA1312,Miltenyi Biotec,130-128-769,,Y,,50,PE,AB_2904938,MICS,FFPE,12,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD31 stains endothelia cells in the tonsil. As there are no lymphatic vessels in the tonsil the endothelia cells stained are blood vessels.,palatine tonsil,UBERON:0002373
OMAP-21,P08575,HGNC:9666,PTPRC,Human,IgG1,Monoclonal,REAL164 ,Miltenyi Biotec,130-112-097,,Y,,50,APC,AB_2819365,MICS,FFPE,13,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,CD45RA is a splice variant of the CD45 gene. This splice variant is expressed on NaiveCD4 and CD8 T cells and a B cell subset.,palatine tonsil,UBERON:0002373
OMAP-21,P28907,HGNC:1667,CD38,Human,IgG1,Monoclonal,REAL719,Miltenyi Biotec,130-126-438,,Y,,50,PE,AB_2904976,MICS,FFPE,13,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD38 is a marker for activated B cells.,palatine tonsil,UBERON:0002373
OMAP-21,P09874,HGNC:270,PARP1,Human,IgG1,Monoclonal,REA1316,Miltenyi Biotec,130-128-159,,Y,,50,PE,AB_2928600,MICS,FFPE,14,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,Cleaved PARP1 is expressed in aptoptotic cells. In the tonsil such cells can be found in the germinal centre (also cell fragments),palatine tonsil,UBERON:0002373
OMAP-21,P11836,HGNC:7315,MS4A1,Human,IgG1,Monoclonal,REA1087,Miltenyi Biotec,130-118-292,,Y,,50,FITC,AB_2857425,MICS,FFPE,16,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,CD20 is expressed on  B cells and defines B cell follicles This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373
OMAP-21,Q86YL7,HGNC:29602,PDPN,Human,IgG1,Monoclonal,REA446,Miltenyi Biotec,130-117-687,,Y,,50,PE,AB_2751407,MICS,FFPE,16,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,Podoplanin stains lymphatic vessels (absent in tonsil) and is also expressed on Stroma and subset of Epithelia cells.,palatine tonsil,UBERON:0002373
OMAP-21,P43489,HGNC:11918,TNFRSF4,Mouse,IgG1 kappa,Monoclonal,ACT35,Miltenyi Biotec,130-128-895,,N,,50,APC,AB_2904709,MICS,FFPE,17,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD134 is an activation marker on T cells and marks newly activated T cells.,palatine tonsil,UBERON:0002373
OMAP-21,P29017,HGNC:1636,CD1C,Human,IgG1,Monoclonal,REAL1005,Miltenyi Biotec,130-127-024,,Y,,50,FITC,AB_2904806,MICS,FFPE,18,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD1c is expressed on mantle zone B cells and myeolid DC. This marker represents a core panel and prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373
