OMAP-6 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Pancreas with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Anna Martinez Casals; Frida Björklund,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-2722-1965; 0000-0002-3343-349X,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Katja Steiger; Christopher Werlein; Andrea J. Radtke; Ellen M. Quardokus; Diane C. Saunders; Presha Rajbhandari,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-7269-5433; 0000-0002-7694-4257; 0000-0003-4379-8967; 0000-0001-7655-4833; 0000-0002-8849-6746; 0000-0003-2184-7238,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM948.XLMZ.833,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,
Version number ,v1.2,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_name,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcid,core_panel,rationale,organ,organ_uberon
OMAP-6,P01275,HGNC:4191,GCG,Mouse,IgG2B,Monoclonal,970307,R&D Systems,MAB12491,,N,,100,Oligonucleotide,AB_2895089,CODEX,FFPE,1,Atto550,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",Y,"Defines alpha cells in the Islet of Langerhans anatomical structure of the endocrine pancreas tissue, being the major counterpart to beta cells. This marker represents a core panel and prioritized target in the pancreas OMAP.",pancreas,UBERON:0001264
OMAP-6,P35222,HGNC:2514,CTNNB1,Mouse,IgG2a,Monoclonal,CL3689,Atlas Antibodies,AMab91209,,N,,50,Oligonucleotide,AB_2665844,CODEX,FFPE,2,Cy5,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",Y,Defines junctions that connect neighboring cells (adherens junctions). This marker cannot be used to describe a specific anatomical structure but represents a core panel and prioritized target in the pancreas OMAP for cell segmentation due to its presence in the plasma membrane.,pancreas,UBERON:0001264
OMAP-6,P01308,HGNC:6081,INS,Mouse,IgG1,Monoclonal,C-PEP-01,Thermo Fisher Scientific,MA1-19159,,N,,50,Oligonucleotide,AB_1073884,CODEX,FFPE,3,Atto550,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",Y,"Defines beta cells in the Islet of Langerhans anatomical structure of the endocrine pancreas tissue, being the major counterpart to alpha cells. This marker represents a core panel and prioritized target in the pancreas OMAP.",pancreas,UBERON:0001264
OMAP-6,P08727,HGNC:6436,KRT19,Mouse,IgG2a,Monoclonal,A53-B/A2,Abcam,ab7754,,N,,100,Oligonucleotide,AB_306048,CODEX,FFPE,4,Atto550,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",Y,Defines ductal epithelial cells in the ductal tree (large ducts) anatomical structure of the pancreas tissue. This marker represents a core panel and prioritized target in the pancreas OMAP.,pancreas,UBERON:0001264
OMAP-6,P16284,HGNC:8823,PECAM1,Rabbit,IgG,Monoclonal,EP3095,Abcam,ab134168,,Y,,50,Oligonucleotide,AB_2890012,CODEX,FFPE,5,AF488,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",N,Defines the vasculature of the pancreas being a marker for blood endothelial cells. This marker represents a prioritized target in the pancreas OMAP.,pancreas,UBERON:0001264
OMAP-6,P61278,HGNC:11329,SST,Mouse,IgG1,Monoclonal,7G5,Novus Biologicals,NBP2-37447,,N,,150,Oligonucleotide,AB_2890053,CODEX,FFPE,5,Atto550,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",Y,"Defines delta cells in the Islet of Langerhans anatomical structure of the endocrine pancreas tissue, acting as a paracrine inhibitor of insulin and glucagon secretion. This marker represents a core panel and prioritized target in the pancreas OMAP",pancreas,UBERON:0001264
OMAP-6,P12830,HGNC:1748,CDH1,Mouse,IgG1 kappa,Monoclonal,4A2C7,Thermo Fisher Scientific,33-4000,,N,,100,Oligonucleotide,AB_2533118,CODEX,FFPE,6,Atto550,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",N,"This marker does not define a specific anatomical structure but can be used for cell segmentation. This marker is found within the membrane that surrounds epithelial cells, regulating cell-cell adhesions.",pancreas,UBERON:0001264
OMAP-6,P10645,HGNC:1929,CHGA,Mouse,IgG1 kappa,Monoclonal,LK2H10 + PHE5 + CGA/414,Novus Biologicals,NBP2-34674,,N,,200,Oligonucleotide,AB_2864388,CODEX,FFPE,8,Cy5,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",N,"Defines neural cells and neuroendocrine cells in the Islet of Langerhans anatomical structure of the endocrine pancreas tissue, exerting a regulatory function on the secretion of different hormones. This marker represents a prioritized target in the pancreas OMAP.",pancreas,UBERON:0001264
OMAP-6,P62736,HGNC:130,ACTA2,Mouse,IgG1,Monoclonal,4A4,Abcam,ab119952,,N,,50,Oligonucleotide,AB_10901360,CODEX,FFPE,9,AF488,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",N,"Defines smooth muscle cells in vascular walls and, when combined with vimentin, can be used to describe pancreatic stellate cells. This marker represents a prioritized target in the pancreas OMAP.",pancreas,UBERON:0001264
OMAP-6,P10997,HGNC:5329,IAPP,Rabbit,IgG,Polyclonal,,Atlas Antibodies,HPA053194,,N,,100,Oligonucleotide,AB_2682076,CODEX,FFPE,9,Atto550,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",N,"Defines beta cells in the Islet of Langerhans anatomical structure of the endocrine pancreas tissue, contributing to the maintenance of glucose physiological levels specifically by inhibiting insulin and glucagon secretion. This marker represents a prioritized target in the pancreas OMAP.",pancreas,UBERON:0001264
OMAP-6,P08670,HGNC:12692,VIM,Mouse,IgG2a,Monoclonal,O91D3,BioLegend,677802,,N,,100,Oligonucleotide,AB_2565982,CODEX,FFPE,10,Cy5,https://doi.org/10.1038/s41596-021-00556-8,"0000-0003-2722-1965, 0000-0002-3343-349X",Y,Defines the stroma of the pancreas as an anatomical structure by labeling mesenchymal cells. This marker represents a core panel and prioritized target in the pancreas OMAP.,pancreas,UBERON:0001264
