OMAP-34: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Esophagus with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jeffrey Reina; Diana Mahdessian; Emma Lundberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Andrea Radtke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,release date assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,Q9UBG3,HGNC:1230,CRNN,Mouse ,IgG2b,Monoclonal,OTI4B8,OriGene,CF811824,F002,N,,200,Oligonucleotide,AB_3713441,CODEX,Fresh frozen,3,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,Y,"Defines cornulin, a marker of esophageal squamous epithelial differentiation and stress response, enriched in suprabasal layers.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P35222,HGNC:2514,CTNNB1,Mouse,IgG2a,Monoclonal,CL3689,Atlas Antibodies,AMab91209,MAB-03052,N,,300,Oligonucleotide,AB_2665844,CODEX,Fresh frozen,4,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,Y,Defines adherens junctions connecting squamous epithelial cells; supports cell segmentation by marking membranes.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P04792,HGNC:5246,HSPB1,Rabbit ,IgG,Monoclonal,EP1724Y,Abcam,ab247352,1052744-4,Y,,300,Oligonucleotide,AB_3713442,CODEX,Fresh frozen,8,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,"Defines heat shock protein 27, upregulated under stress; marks epithelial stress response.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,O95760,HGNC:16028,IL33,Rabbit,IgG,Monoclonal,EPR20417,Abcam,ab236036,1051121-10,Y,,100,Oligonucleotide,AB_3676194,CODEX,Fresh frozen,8,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,A cytokine released by stressed/damaged epithelial cells; contributes to immune recruitment in esophagus.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P07476,HGNC:6187,IVL,Rabbit,IgG,Monoclonal,EPR13054,Abcam,ab240256,1093752-2,Y,,500,Oligonucleotide,AB_3676191,CODEX,Fresh frozen,6,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,"Defines involucrin, a squamous epithelial differentiation marker in suprabasal layers.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P13646,HGNC:6415,KRT13,Mouse,IgG,Monoclonal,AE8,Abcam,ab269574,1044784-1,N,,500,Oligonucleotide,AB_3675893,CODEX,Fresh frozen,9,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines non-keratinized stratified squamous epithelial cells of esophagus; basal/suprabasal marker.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P08779,HGNC:6423,KRT16,Rabbit,IgG,Monoclonal,EP1615Y,Abcam,ab232522,1102818-1,Y,,400,Oligonucleotide,AB_3676190,CODEX,Fresh frozen,7,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,"Defines keratin induced by injury/stress (hyperplasia, wound repair); marks abnormal epithelial responses.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P03956,HGNC:7155,MMP1,Rabbit,IgG,Monoclonal,EP1247Y,Abcam,ab271845,1082853-3,Y,,100,Oligonucleotide,AB_2927770,CODEX,Fresh frozen,14,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,"Defines matrix metalloproteinase 1, expressed in stressed epithelial cells and stroma; remodels extracellular matrix.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P15941,HGNC:7508,MUC1,Rabbit,IgG,Monoclonal,EPR1025(2),Abcam,ab238994,1097007-3,Y,,100,Oligonucleotide,AB_3676195,CODEX,Fresh frozen,2,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines mucin 1 in glandular/ductal epithelial cells; associated with metaplastic or protective mucosa.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P09874,HGNC:270,PARP1,Rabbit ,IgG,Monoclonal, E102,Abcam,ab221923,1054686-3,Y,,100,Oligonucleotide,AB_3674387,CODEX,Fresh frozen,4,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines DNA damage response and apoptosis regulation; upregulated in stress and carcinogenesis.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,Q15063,HGNC:16953,POSTN,Rabbit,IgG,Monoclonal,E5F2S,Cell Signaling Technology,79950SF,1,Y,,100,Oligonucleotide,AB_3094535,CODEX,Fresh frozen,11,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,"Defines periostin, secreted by fibroblasts; marks activated stroma and fibrosis in esophagus.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,O60437,HGNC:9273,PPL,Rabbit,IgG,Monoclonal,EPR8296,Abcam,ab248397,1116351-1,Y,,50,Oligonucleotide,AB_3713445,CODEX,Fresh frozen,11,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,"Defines periplakin, a structural component of desmosomes; essential for epithelial barrier integrity.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P60484,HGNC:9588,PTEN,Mouse,IgG2b,Monoclonal,PTEN/2110,Abcam,ab237878,1018574-1,Y,,100,Oligonucleotide,AB_3674389,CODEX,Fresh frozen,14,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines tumor suppressor gene product; loss associated with carcinogenesis and epithelial transformation.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P62736,HGNC:130,ACTA2,Mouse,IgG2a,Monoclonal,1A4,Akoya Biosciences,4450049,1000000067,N,,400,Oligonucleotide,AB_2936084,CODEX,Fresh frozen,1,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,"Defines α-SMA, smooth muscle and myofibroblast marker; helps annotate muscularis and activated fibroblasts.",esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P10415,HGNC:990,BCL2,Rabbit,IgG,Monoclonal,EPR17509,Akoya Biosciences,4550089,1000000783,Y,,200,Oligonucleotide,AB_2936078,CODEX,Fresh frozen,6,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines apoptosis regulator; overexpressed in stressed/dysplastic epithelia.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P01730,HGNC:1678,CD4,Mouse,IgG1,Monoclonal,SK3,Akoya Biosciences,4550105,B397936,N,,200,Oligonucleotide,AB_3678452,CODEX,Fresh frozen,8,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines helper T cells infiltrating esophageal mucosa.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P01732,HGNC:1706,CD8A,Mouse,IgG1,Monoclonal,SK1,Akoya Biosciences,4150004,B399254,N,,100,Oligonucleotide,AB_2895049,CODEX,Fresh frozen,9,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines cytotoxic T cells infiltrating epithelium and lamina propria.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P16284,HGNC:8823,PECAM1,Mouse,IgG1,Monoclonal,WM59,Akoya Biosciences,4250009,B406349,Y,,100,Oligonucleotide,AB_2895051,CODEX,Fresh frozen,7,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines blood endothelial cells; labels esophageal vasculature.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P28906,HGNC:1662,CD34,Mouse,IgG2a,Monoclonal,561,Akoya Biosciences,4250020,B397934,N,,100,Oligonucleotide,AB_2909512,CODEX,Fresh frozen,12,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines vascular endothelial and stromal progenitor cells; vasculature and fibroblastic niche.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P08575,HGNC:9666,PTPRC,Mouse,IgG1,Monoclonal,HI30,Akoya Biosciences,4150003,1000000266,N,,100,Oligonucleotide,AB_2895052,CODEX,Fresh frozen,5,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,Y,Defines pan-leukocyte marker; essential for immune cell annotation.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P34810,HGNC:1693,CD68,Mouse,IgG1,Monoclonal,KP1,Akoya Biosciences,4550113,1000000034,Y,,100,Oligonucleotide,AB_2935894,CODEX,Fresh frozen,10,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines macrophages and monocytes infiltrating the esophagus.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,Q9BZS1,HGNC:6106,FOXP3,Mouse,IgG1,Monoclonal,236A/E7,Akoya Biosciences,4550071,1000000728,Y,,100,Oligonucleotide,AB_2927679,CODEX,Fresh frozen,1,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines regulatory T cells in mucosal immunity and tolerance.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,Q16665,HGNC:4910,HIF1A,Rabbit,IgG,Monoclonal,EP1215Y,Akoya Biosciences,4550069,1000000906,Y,,100,Oligonucleotide,AB_3082972,CODEX,Fresh frozen,9,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines hypoxia-inducible factor; marks epithelial/stromal response to hypoxia and stress.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P46013,HGNC:7107,MKI67,Mouse,IgG1,Monoclonal,B56,Akoya Biosciences,4250019,1000000247,Y,,100,Oligonucleotide,AB_2895046,CODEX,Fresh frozen,6,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines proliferating epithelial and immune cells; proliferation marker.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P02533,HGNC:6416,KRT14,Rabbit,IgG,Polyclonal,Poly19053,Akoya Biosciences,4450031,1000000614,N,,750,Oligonucleotide,AB_3095339,CODEX,Fresh frozen,1,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,Y,Defines basal epithelial cells of stratified squamous mucosa.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P13647,HGNC:6442,KRT5,Rabbit,IgG,Monoclonal,EP1601Y,Akoya Biosciences,4250090,B389468,Y,,750,Oligonucleotide,AB_3083458,CODEX,Fresh frozen,5,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,Y,Defines basal squamous epithelial cells; co-expressed with KRT14.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,Q15116,HGNC:8760,PDCD1,Mouse,IgG1,Monoclonal,EH12.2H7,Akoya Biosciences,4250010,1000000405,N,,100,Oligonucleotide,AB_2909510,CODEX,Fresh frozen,2,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines inhibitory receptor on T cells; immune checkpoint in inflamed or dysplastic mucosa.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,Q9NZQ7,HGNC:17635,CD274,Rabbit,IgG,Monoclonal,73-10,Akoya Biosciences,4550128,1000000706,Y,,100,Oligonucleotide,AB_3676534,CODEX,Fresh frozen,3,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines immune checkpoint ligand on epithelial and immune cells; relevant for immune escape.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P48431,HGNC:11195,SOX2,Rabbit,IgG,Monoclonal,SP76,Akoya Biosciences,4250075,1000000754,Y,,100,Oligonucleotide,AB_3094504,CODEX,Fresh frozen,13,Atto550,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines transcription factor regulating basal epithelial progenitors; overexpressed in squamous cell carcinoma.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,Q9H3D4,HGNC:15979,TP63,Mouse,IgG2b,Monoclonal,W15093A,Akoya Biosciences,4550081,1000000810,Y,,200,Oligonucleotide,AB_3713478,CODEX,Fresh frozen,7,AF647,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,N,Defines basal and progenitor epithelial cells; essential for stratified epithelium maintenance.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
OMAP-34,P08670,HGNC:12692,VIM,Mouse,IgG2a,Monoclonal,091D3,Akoya Biosciences,4450050,1000000043,N,,800,Oligonucleotide,AB_2935889,CODEX,Fresh frozen,14,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0003-0525-9727; 0000-0003-0750-1070; 0000-0001-7034-0850,Y,Defines stromal fibroblasts and mesenchymal cells of esophagus.,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
