OMAP-4 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Skin with Cell DIVE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Elizabeth McDonough; Chrystal Chadwick; Fiona Ginty,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-7524-8260; 0000-0001-6355-5677; 0000-0001-6638-683X,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ari Karunamurthy; Andrea J. Radtke; Christopher Werlein; Ellen M. Quardokus; Diane C. Saunders; Anna Martinez Casals; Presha Rajbhandari,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-5739-4923; 0000-0003-4379-8967; 0000-0002-7694-4257; 0000-0001-7655-4833; 0000-0002-8849-6746; 0000-0003-2722-1965; 0000-0003-2184-7238,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.48539/HBM447.DQMQ.693,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Version number,v1.4,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon
OMAP-4,P09936,HGNC:12513,UCHL1,Mouse,IgG2a,Monoclonal,13C4,Santa Cruz,sc-58594,H0118,N,4,,Cy3 secondary detection,AB_793620,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Structural marker for nerve bundles. This marker represents a prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,,,,Goat,IgG,Polyclonal,,Jackson,115-166-062,136319,N,5,,Cy3,AB_2338703,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,"Used to detect UCH-L1, see above.",skin of body,UBERON:0002097
OMAP-4,Q92466,HGNC:2718,DDB2,Rabbit,IgG,Monoclonal,EPR9811,Abcam,ab181136,GR3315250-1,Y,6.2,,Cy5 secondary detection,AB_2889873,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Marker of UV damage/aging. This marker represents a prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,,,,Donkey,IgG,Polyclonal,,Jackson,711-606-152,130988,N,5,,AF647,AB_2340625,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,"Used to detect DDB2, see above.",skin of body,UBERON:0002097
OMAP-4,P05023,HGNC:799,ATP1A1,Rabbit,IgG,Monoclonal,EP1845Y,Abcam,ab167390,GR172106-1,Y,5,,Cy3,AB_2890241,Cell DIVE,FFPE,2,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Essential segmentation marker for cell membrane. This marker represents a prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,P02751,HGNC:3778,FN1,Rabbit,IgG,Monoclonal,F14,Abcam,ab206928,YH122101P,Y,5,,Cy5,AB_2924696,Cell DIVE,FFPE,2,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Structural marker for extracellular matrix and skin fibroblasts. This marker represents a prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,"P04264, P13647, P02538, P04259, P48668, P05787","HGNC:6412, HGNC:6442, HGNC:6443, HGNC:6444, HGNC:20406, HGNC:6446","KRT1, KRT5, KRT6A, KRT6B, KRT6C, KRT8",Mouse,IgG1,Monoclonal,PCK-26,Sigma,C5992,062M4768,N,2.5,,Cy3,AB_2134432,Cell DIVE,FFPE,3,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,Y,Defines several keratinocyte populations in the epidermis. Essential segmentation marker for epithelial cells. This marker represents a core panel and prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,"P12830, P19022, P22223, P55283, P33151, P55285, Q9ULB5, P55286, Q9ULB4, Q9Y6N8, P55287, P55289, P55290, P55291, O75309, Q12864, Q13634, Q9H159, Q9HBT6, Q9UJ99, Q9H251, Q86UP0","HGNC:1748, HGNC:1759, HGNC:1762, HGNC:1763, HGNC:1764, HGNC:1765, HGNC:1766, HGNC:1767, HGNC:1768, HGNC:1749, HGNC:1750, HGNC:1751, HGNC:1753, HGNC:1754, HGNC:1755, HGNC:1756, HGNC:1757, HGNC:1758, HGNC:1760, HGNC:13251, HGNC:13733, HGNC:14265","CDH1, CDH2, CDH3, CDH4, CDH5, CDH6, CDH7, CDH8, CDH9, CDH10, CDH11, CDH12, CDH13, CDH15, CDH16, CDH17, CDH18, CDH19, CDH20, CDH22, CDH23, CDH24",Rabbit,IgG,Polyclonal,,Thermo Fisher Scientific,RB-9036-P0,9036P909E,N,5,,Cy5,AB_149846,Cell DIVE,FFPE,3,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Essential segmentation marker for cell membrane. This marker represents a prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,P16284,HGNC:8823,PECAM1,Mouse,IgG1,Monoclonal,89C2,Cell Signaling Technology,3528,5,Y,5,,Cy3,AB_2160882,Cell DIVE,FFPE,4,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,Y,Essential marker for endothelial cells. This marker represents a core panel and prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,P34810,HGNC:1693,CD68,Mouse,IgG1,Monoclonal,KP1,Abcam,ab233172,397X1607A,Y,2.5,,Cy5,AB_2924694,Cell DIVE,FFPE,4,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,Y,Essential marker for macrophages and dendritic cells. This marker represents a core panel and prioritized target in the skin OMAP.,skin of body,UBERON:0002097
OMAP-4,P01730,HGNC:1678,CD4,Rabbit,IgG,Monoclonal,EPR6855,Abcam,ab181724,GR241749-2,Y,5,,Cy3,AB_2864377,Cell DIVE,FFPE,5,,https://doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Essential marker for helper T cells. This marker represents a prioritized target in the skin OMAP.,skin of body,UBERON:0002097
