Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Lymph Node with IBEX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Andrea J. Radtke,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Elaine Jaffe (0000-0003-4632-0301); Stefania Pittaluga (0000-0001-7688-1439); Ronald N. Germain (0000-0003-1495-9143),  Ellen Quardokus (0000-0001-7655-4833)",,,,,,,,,,,,,,,,,,,
General Publication(s):,"DOI: 10.1073/pnas.2018488117, DOI: 10.1038/s41596-021-00644-9, DOI: 10.1038/s41556-021-00788-6",,,,,,,,,,,,,,,,,,,
Data DOI: https://doi.org/10.48539/HBM445.CZKW.526
Date: 12-01-2021
,,,,,,,,,,,,,,,,,,,,
UniProt Accession Number,Target Name/Protein Biomarker,Antibody Name,Host Organism and Isotype,Clonality,Vendor,Catalog Number,Lot Number,Recombinant,Dilution/Concentration,Conjugate,RRID,Application,Method,Tissue Preservation,Cycle Number,DOI for Protocol,ORCID ID of Author,Core Panel (4-6 markers),Essential 25-plex,Rationale
NA-Nuclear dye,Hoechst 33342,NA,NA,NA,Biotium,40046,20H0212,NA,0.2 ug/mL,NA,NA,IHC,IBEX,1% PFA Fixed Frozen,All,10.1073/pnas.2018488117,0000-0003-4379-8967,Y,Y,"Defines functional unit, used for segmentation, fiducial for registering images"
P11836,CD20,"CD20 Monoclonal Antibody (L26), Alexa Fluor 488, eBioscience™","Mouse IgG2b, κ",L26,Thermo,53-0202-82,2141141,No,2.5 ug/mL,AF488,AB_10734358,IHC,IBEX,1% PFA Fixed Frozen,1,10.1038/s41596-021-00644-9,,N,Y,"Defines B cell follicles, essential marker for B cells"
P09486,SPARC,Alexa Fluor® 532 SPARC Antibody,Goat IgG,Polyclonal,R&D,AF941 (Unconjugated),EWN1616101,No,10 ug/mL,AF532 (Custom-Thermo A20182),AB_2892754,IHC,IBEX,1% PFA Fixed Frozen,1,,,N,N,"Not essential for normal LN, marker for fibroblasts, capillary endothelial cells, platelets and macrophages"
P08473,CD10,PE anti-human CD10 Antibody,"Mouse IgG1, κ",HI10a,BioLegend,312204,B264775,No,1 ug/mL,PE,AB_314915,IHC,IBEX,1% PFA Fixed Frozen,1,,,N,N,"Not essential for normal LN, marker for B cells and neutrophils, follicular lymphoma tumor B cells"
P07766,CD3,Alexa Fluor® 594 anti-human CD3 Antibody,Mouse IgG1,UCHT1,BioLegend,300446,B300588,No,2.5 ug/mL,AF594,AB_2563236,IHC,IBEX,1% PFA Fixed Frozen,All,,,Y,Y,"Essential marker for T cells, defines T cell zone"
A0A024R2B3,BCL2,Alexa Fluor® 647 anti-Bcl-2 Antibody,Mouse IgG1,100,BioLegend,658705,B266409,No,1 ug/mL,AF647,AB_2563279,IHC,IBEX,1% PFA Fixed Frozen,1,,,N,N,"Not essential for normal LN, marker for B cells, mantle zone, follicular lymphoma tumor B cells"
P02462,Collagen IV,"Rabbit Anti-Collagen IV Polyclonal Antibody, Unconjugated",Rabbit IgG,Polyclonal,Abcam,Ab6586,GR3317997-3,No,1 ug/mL,NA,AB_305584,IHC,IBEX,1% PFA Fixed Frozen,1,,,N,N,"Not essential for normal LN, marker for extracellular matrix; defines capsule, use Lumican"
,,"Goat anti-Rabbit IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor 700",Goat IgG,Polyclonal,Thermo,A-21038,1951988,No,4 ug/mL,AF700,AB_2535709,IHC,IBEX,1% PFA Fixed Frozen,1,,,N,N,"Used to detect Collagen IV, see above"
P01880,IgD,Alexa Fluor® 488 anti-human IgD Antibody,"Mouse IgG2a, κ",IA6-2,BioLegend,348216,B257190,No,4 ug/mL,AF488,AB_11150595,IHC,IBEX,1% PFA Fixed Frozen,2,,,N,Y,"Expressed by naive B cells, provides mantle zone, poor performance (substitute with BCL2 or CD1c)"
P20023,CD21,Alexa Fluor® 532 anti-human CD21 Antibody,"Mouse IgG1, κ",Bu32,BioLegend,354902 (Unconjugated),B268709,No,1 ug/mL,AF532 (Custom-BioLegend),AB_2892739,IHC,IBEX,1% PFA Fixed Frozen,2,,,N,Y,"Essential marker for follicular dendritic cells, defines germinal center"
P18827,CD138,PE anti-human CD138 (Syndecan-1) Antibody,"Mouse IgG1, κ",MI15,BioLegend,356504,B281497,No,2 ug/mL,PE,AB_2561878,IHC,IBEX,1% PFA Fixed Frozen,2,,,N,Y,"Essential marker for plasma cells, endothelial cells, epithelial cells, metastases in lymph nodes depending on spatial pattern"
P41182,BCL6,Alexa Fluor® 647 Mouse anti-Bcl-6,"Mouse IgG1, κ",K112-91,BD Biosciences,561525,9176164,No,1 ug/mL,AF647,AB_10898007,IHC,IBEX,1% PFA Fixed Frozen,2,,,N,N,"Tfh and GC B cells, defines germinal center, higher in dark zone, alternatives include Ki-67"
P16284,CD31,Alexa Fluor® 700 anti-human CD31 Antibody,"Mouse IgG1, κ",WM59,BioLegend,303133,B274121,No,2.5 ug/mL,AF700,AB_2566326,IHC,IBEX,1% PFA Fixed Frozen,2,,,Y,Y,Essential marker for endothelial cells
P01903,HLA-DR,Alexa Fluor® 488 anti-human HLA-DR Antibody,"Mouse IgG2a, κ",L243,BioLegend,307620,B271228,No,2 ug/mL,AF488,AB_493175,IHC,IBEX,1% PFA Fixed Frozen,3,,,Y,Y,"Essential marker for antigen presenting cells (B and myeloid), defines follicles, and germinal center (HLA-DR++)"
P06734,CD23,Alexa Fluor® 532 anti-human CD23 Antibody,"Mouse IgG1, κ",EBVCS-5,BioLegend,338502 (Unconjugated),B280426,No,4 ug/mL,AF532 (Custom-BioLegend),AB_2892740,IHC,IBEX,1% PFA Fixed Frozen,3,,,N,N,"B cells, defines light zone follicular dendritic cells, use CD21 to define follicular dendritic cells"
P29017,CD1c,PE anti-human CD1c Antibody,"Mouse IgG1, κ",L161,BioLegend,331506,B259787,No,2 ug/mL,PE,AB_1088999,IHC,IBEX,1% PFA Fixed Frozen,3,,,Y,Y,Essential marker for cDC2 dendritic cells
Q86VB7,CD163,Alexa Fluor® 647 anti-human CD163 Antibody,"Mouse IgG1, κ",GH1/61,BioLegend,333620,B228696,No,2 ug/mL,AF647,AB_2563475,IHC,IBEX,1% PFA Fixed Frozen,3,,,N,Y,"Essential macrophage marker, defines multiple subsets enriched in medulla"
