OMAP-2 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Intestine with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,John Hickey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-9961-7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Teri Longacre; Andrea J. Radtke; Christopher Werlein; Ellen M. Quardokus; Diane C. Saunders; Anna Martinez Casals; Presha Rajbhandari 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-0935-7300; 0000-0003-4379-8967; 0000-0002-7694-4257; 0000-0001-7655-4833; 0000-0002-8849-6746; 0000-0003-2722-1965; 0000-0003-2184-7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM243.TNZD.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"December 15, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,,,
OMAP-2,P46013,HGNC:7107,MKI67,Mouse,IgG1 kappa,Monoclonal,B56,BD Biosciences,556003,,N,,50,Oligonucleotide,AB_396287,CODEX,Fresh frozen,2,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,"This marker does not define a distinct cell type, but highlights all proliferating cells, useful in various diseases and transit amplifying cells. Defines germinal centers of gut-associated lymphoid tissue (GALT). This marker represents a prioritized target in the intestine OMAP.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P01589,HGNC:6008,IL2RA,Mouse,IgG2a,Monoclonal,7G7B6,Bio X Cell,BE0014,,N,,100,Oligonucleotide,AB_1107617,CODEX,Fresh frozen,2,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,This marker can be used to identify T regulatory cells. The inclusion of FOXP3 is recommended to provide greater confidence in the T regulatory cell phenotype. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P08195,HGNC:11026,SLC3A2,Mouse,IgG1 kappa,Monoclonal,MEM-108,BioLegend,315602,,N,,25,Oligonucleotide,AB_2302070,CODEX,Fresh frozen,2,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,This marker does not define a distinct cell type but instead serves as a pan-membrane marker. It can be used to segment most cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P08670,HGNC:12692,VIM,Mouse,IgG1,Monoclonal,RV202,BD Biosciences,550513,,N,,200,Oligonucleotide,AB_393716,CODEX,Fresh frozen,3,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,Y,"Defines stromal network of intestine and serves as a pan-mesenchymal cell marker. The combination of collagen IV, pan-cytokeratin, alpha smooth muscle actin, and vimentin can be used to define the villi, crypts, basal membrane, and lamina propria. This marker represents a core panel and prioritized target in the intestine OMAP.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q9P2W7,HGNC:921,B3GAT1,Mouse,IgM,Monoclonal,HCD57,BioLegend,322302,,N,,200,Oligonucleotide,AB_535988,CODEX,Fresh frozen,3,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of NK cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P26718,HGNC:18788,KLRK1,Mouse,IgG1 kappa,Monoclonal,1D11,BioLegend,320802,,N,,100,Oligonucleotide,AB_492956,CODEX,Fresh frozen,3,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of NK cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P09564,HGNC:1695,CD7,Mouse,IgG2a kappa,Monoclonal,CD7-6B7,BioLegend,343102,,N,,200,Oligonucleotide,AB_1659214,CODEX,Fresh frozen,4,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of NK and T cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P01730,HGNC:1678,CD4,Rat,IgG2b kappa,Monoclonal,A161A1,BioLegend,357402,,N,,200,Oligonucleotide,AB_2561907,CODEX,Fresh frozen,4,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of CD4+ T cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P15391,HGNC:1633,CD19,Mouse,IgG1 kappa,Monoclonal,HIB19,BD Biosciences,555410,,N,,200,Oligonucleotide,AB_395810,CODEX,Fresh frozen,4,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,Y,Essential marker of B cells and also identifies plasma cells. Defines B cell follicles of gut-associated lymphoid tissue (GALT). This marker represents a core panel and prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P04233,HGNC:1697,CD74,Mouse,IgG2a kappa,Monoclonal,L243,BioLegend,307651,,N,,200,Oligonucleotide,AB_2562826,CODEX,Fresh frozen,5,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,"Used for identification of antigen presenting cells (B cells, dendritic cells, macrophages). Defines B cell follicles (HLA-DR+) and germinal centers (HLA-DR++) of gut-associated lymphoid tissue (GALT).",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P20702,HGNC:6152,ITGAX,Mouse,IgG1 kappa,Monoclonal,B-ly6,BD Biosciences,555391,,N,,200,Oligonucleotide,AB_395792,CODEX,Fresh frozen,5,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of dendritic cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q12918,HGNC:6373,KLRB1,Mouse,IgG1 kappa,Monoclonal,HP-3G10,BioLegend,339902,,N,,200,Oligonucleotide,AB_1501090,CODEX,Fresh frozen,5,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of NK cells and other innate lymphoid cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P08247,HGNC:11506,SYP,Mouse,IgG1,Monoclonal,7H12,Novus Biologicals,NBP1-47483,,N,,100,Oligonucleotide,AB_10010435,CODEX,Fresh frozen,6,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of neural cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P28906,HGNC:1662,CD34,Mouse,IgG2a kappa,Monoclonal,561,BioLegend,343602,,N,,100,Oligonucleotide,AB_1732014,CODEX,Fresh frozen,6,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for visualization of blood and lymphatic endothelial cells and vessels. Identifies fibroblasts of the muscularis propria and submucosa.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P08637,HGNC:3619,FCGR3A,Mouse,IgG1 kappa,Monoclonal,3G8,BD Biosciences,555404,,N,,50,Oligonucleotide,AB_395804,CODEX,Fresh frozen,6,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of neutrophils. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P22083,HGNC:4015,FUT4,Mouse,IgM kappa,Monoclonal,HI98,BD Biosciences,555400,,N,,200,Oligonucleotide,AB_395800,CODEX,Fresh frozen,7,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of neutrophils. Expressed by some Paneth cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q12884,HGNC:3590,FAP,Rat,IgG2a kappa,Monoclonal,2.2B10,Thermo Fisher Scientific,13-0300,,N,,25,Oligonucleotide,AB_2532994,CODEX,Fresh frozen,7,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of fibroblasts.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P26951,HGNC:6012,IL3RA,Mouse,IgG2a kappa,Monoclonal,7G3,BD Biosciences,554527,,N,,50,Oligonucleotide,AB_395455,CODEX,Fresh frozen,7,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Expressed by plasmacytoid dendritic cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P13688,HGNC:1814,CEACAM1,Mouse,IgG2a kappa,Monoclonal,B1.1/CD66,BD Biosciences,551354,,N,,200,Oligonucleotide,AB_394166,CODEX,Fresh frozen,8,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of mature epithelial cells and expressed on neutrophils,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
